,Row,Pcreate,Puse,Vcreate,Vuse,Update,Pen,Repeat,Geometry,Cblock,Note,Anon Student Id,New Id
0,1926,0,0,0,0,0,0,0,0,0,code start,0/5cLN8GIL3SYVkS,0
1,1932,0,0,0,0,0,0,0,0,1,customBlock,1/5cLN8GIL3SYVkS,0
2,1934,1,0,0,0,0,0,0,0,1, [varDec=#of spiral],2/5cLN8GIL3SYVkS,0
3,1942,1,0,0,0,0,0,1,0,1,repeat,3/5cLN8GIL3SYVkS,0
4,1947,1,1,0,0,0,0,1,0,1,"      doRepeat([!!!!!var=#of spiral], script)",4/5cLN8GIL3SYVkS,0
5,1952,1,1,0,0,0,1,1,0,1,down,5/5cLN8GIL3SYVkS,0
6,1957,1,1,0,0,0,1,2,0,1,forward in repeat,6/5cLN8GIL3SYVkS,0
7,1960,1,1,0,0,0,1,3,0,1,turn in repeat,7/5cLN8GIL3SYVkS,0
8,1962,1,1,0,0,0,1,4,0,1,turn correct degrees,8/5cLN8GIL3SYVkS,0
9,2234,1,1,0,0,0,1,5,1,1,"   doRepeat(reportProduct(!!!!![literal=4], [var=#of spiral]), (correct amount of actions)",11/5cLN8GIL3SYVkS,0
10,2243,1,1,0,0,1,1,6,1,1,dochangevar in repeat,12/5cLN8GIL3SYVkS,0
11,2270,1,1,0,0,1,1,6,1,1,"end of code, did not succeed",13/5cLN8GIL3SYVkS,0
